"Name","Length","LastWriteTime"
"PRINTQUEUEACTIONCENTER.EXE-AFCF9BEA.pf","69324","27-09-2025 02:50:52 PM"
"PY.EXE-A983E3C4.pf","5146","29-10-2025 05:41:34 PM"
"PYTHON.EXE-AA16C98D.pf","9164","29-10-2025 05:41:34 PM"
"QUALIFICATION_APP.EXE-56F0F2AD.pf","2156","27-10-2025 11:19:59 AM"
"RAZER CENTRAL.EXE-8555B69C.pf","81640","29-10-2025 01:43:26 PM"
"RAZERCENTRALSERVICE.EXE-9C373039.pf","16232","29-10-2025 07:07:23 PM"
"RAZERCOMPONENTSCONTROLLER.EXE-5E25C051.pf","11073","29-10-2025 07:07:28 PM"
"RAZERCORTEX.EXE-40ADE4E8.pf","48108","29-10-2025 07:07:29 PM"
"RAZERCORTEX.INSTALLBIGDATA.EX-216EA6E2.pf","24383","29-10-2025 07:07:19 PM"
"RAZERINSTALLER.EXE-108EAF16.pf","61377","29-10-2025 07:07:15 PM"
"RAZERINSTALLERCLEANER.EXE-7C6B2BDF.pf","8712","29-10-2025 07:07:44 PM"
"RCUNINSTALL.EXE-B4F91F09.pf","15763","29-10-2025 07:07:26 PM"
"REGSVR32.EXE-03D3FB87.pf","6149","30-10-2025 07:20:20 PM"
"REGSVR32.EXE-B31EC963.pf","6159","30-10-2025 07:20:20 PM"
"ROUTE.EXE-121C5018.pf","2739","31-10-2025 06:50:37 PM"
"RTKAUDUSERVICE64.EXE-15B9B415.pf","11847","31-10-2025 11:36:07 AM"
"RUNDLL32.EXE-04136BC0.pf","7456","27-10-2025 11:27:51 AM"
"RUNDLL32.EXE-067CF36D.pf","7570","28-10-2025 06:33:00 PM"
"RUNDLL32.EXE-0710B17E.pf","9689","30-10-2025 01:41:57 PM"
"RUNDLL32.EXE-64324A2A.pf","8981","31-10-2025 11:50:54 AM"
"RUNDLL32.EXE-6F26928C.pf","7759","31-10-2025 06:34:58 PM"
