"Name","DisplayName","Enabled","Action","Direction","Profile","Program"
"Collab-PNRP-SSDPSrv-In-UDP","Windows Peer to Peer Collaboration Foundation (SSDP-In)","False","Allow","Inbound","Any",
"Microsoft-Windows-DeviceManagement-OmaDmClient-TCP-Out","Windows Device Management Sync Client (TCP out)","True","Allow","Outbound","Any",
"CoreNet-ICMP6-LR-In","Core Networking - Multicast Listener Report (ICMPv6-In)","True","Allow","Inbound","Any",
"CoreNet-Diag-ICMP4-EchoRequest-In-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","False","Allow","Inbound","Domain",
"SSTP-IN-TCP","Secure Socket Tunneling Protocol (SSTP-In)","False","Allow","Inbound","Any",
"DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","DIAL protocol server (HTTP-In)","True","Allow","Inbound","Private",
"MSDTC-In-TCP","Distributed Transaction Coordinator (TCP-In)","False","Allow","Inbound","Private, Public",
"CoreNet-DHCPV6-Out","Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)","True","Allow","Outbound","Any",
"RVM-VDS-In-TCP-NoScope","Remote Volume Management - Virtual Disk Service (RPC)","False","Allow","Inbound","Domain",
"WMI-WINMGMT-Out-TCP-NoScope","Windows Management Instrumentation (WMI-Out)","False","Allow","Outbound","Domain",
"Netlogon-TCP-RPC-In","Netlogon Service Authz (RPC)","False","Allow","Inbound","Any",
"CoreNet-ICMP6-TE-In","Core Networking - Time Exceeded (ICMPv6-In)","True","Allow","Inbound","Any",
"MDNS-In-UDP-Domain-Active","mDNS (UDP-In)","True","Allow","Inbound","Domain",
"Collab-P2PHost-In-TCP","Windows Peer to Peer Collaboration Foundation (TCP-In)","False","Allow","Inbound","Any",
"RemoteAssistance-In-TCP-EdgeScope-Active","Remote Assistance (TCP-In)","True","Allow","Inbound","Domain, Private",
"NETDIS-UPnP-Out-TCP-Active","Network Discovery (UPnPHost-Out)","True","Allow","Outbound","Private",
